Number of model parameters: 65960814
Epoch: [0][0/6000]	Time 9.646 (9.646)	Loss 7.1521 (7.1521)
Epoch: [0][10/6000]	Time 1.027 (1.855)	Loss 3.3965 (4.7625)
Epoch: [0][20/6000]	Time 1.035 (1.464)	Loss 2.5809 (3.8151)
Epoch: [0][30/6000]	Time 1.034 (1.325)	Loss 2.9858 (3.4580)
Epoch: [0][40/6000]	Time 1.031 (1.254)	Loss 2.6950 (3.2021)
Epoch: [0][50/6000]	Time 1.038 (1.211)	Loss 3.3798 (3.0703)
Epoch: [0][60/6000]	Time 1.039 (1.183)	Loss 2.7929 (2.9749)
Epoch: [0][70/6000]	Time 1.041 (1.162)	Loss 2.2289 (2.9509)
Epoch: [0][80/6000]	Time 1.042 (1.147)	Loss 3.1395 (2.9219)
Epoch: [0][90/6000]	Time 1.034 (1.135)	Loss 1.5003 (2.8483)
Epoch: [0][100/6000]	Time 1.039 (1.125)	Loss 1.8183 (2.8243)
Epoch: [0][110/6000]	Time 1.042 (1.117)	Loss 2.7730 (2.8105)
Epoch: [0][120/6000]	Time 1.041 (1.111)	Loss 2.7363 (2.7607)
Epoch: [0][130/6000]	Time 1.034 (1.105)	Loss 2.7401 (2.7508)
Epoch: [0][140/6000]	Time 1.036 (1.100)	Loss 1.7289 (2.7248)
Epoch: [0][150/6000]	Time 1.042 (1.096)	Loss 3.7673 (2.7116)
Epoch: [0][160/6000]	Time 1.039 (1.093)	Loss 2.3126 (2.7271)
Epoch: [0][170/6000]	Time 1.035 (1.090)	Loss 1.9760 (2.7195)
Epoch: [0][180/6000]	Time 1.039 (1.087)	Loss 2.3271 (2.7047)
Epoch: [0][190/6000]	Time 1.041 (1.084)	Loss 2.6315 (2.7048)
Epoch: [0][200/6000]	Time 1.035 (1.082)	Loss 2.7371 (2.7041)
Epoch: [0][210/6000]	Time 1.036 (1.080)	Loss 2.1504 (2.6909)
Epoch: [0][220/6000]	Time 1.040 (1.078)	Loss 2.7753 (2.6887)
Epoch: [0][230/6000]	Time 1.038 (1.076)	Loss 1.2653 (2.6802)
Epoch: [0][240/6000]	Time 1.038 (1.075)	Loss 1.6944 (2.6652)
Epoch: [0][250/6000]	Time 1.044 (1.073)	Loss 2.4594 (2.6435)
Epoch: [0][260/6000]	Time 1.041 (1.072)	Loss 1.9231 (2.6365)
Epoch: [0][270/6000]	Time 1.038 (1.071)	Loss 1.6677 (2.6260)
Epoch: [0][280/6000]	Time 1.040 (1.070)	Loss 1.3676 (2.6040)
Epoch: [0][290/6000]	Time 1.040 (1.069)	Loss 3.3762 (2.5865)
Epoch: [0][300/6000]	Time 1.039 (1.068)	Loss 3.1204 (2.5740)
Epoch: [0][310/6000]	Time 1.039 (1.067)	Loss 2.2761 (2.5651)
Epoch: [0][320/6000]	Time 1.044 (1.066)	Loss 2.1136 (2.5604)
Epoch: [0][330/6000]	Time 1.041 (1.065)	Loss 3.5099 (2.5596)
Epoch: [0][340/6000]	Time 1.042 (1.064)	Loss 2.0414 (2.5558)
Epoch: [0][350/6000]	Time 1.040 (1.064)	Loss 1.9251 (2.5500)
Epoch: [0][360/6000]	Time 1.042 (1.063)	Loss 2.0843 (2.5524)
Epoch: [0][370/6000]	Time 1.038 (1.062)	Loss 3.2379 (2.5673)
Epoch: [0][380/6000]	Time 1.044 (1.062)	Loss 1.4460 (2.5622)
Epoch: [0][390/6000]	Time 1.042 (1.061)	Loss 2.4567 (2.5613)
Epoch: [0][400/6000]	Time 1.042 (1.061)	Loss 2.0637 (2.5582)
Epoch: [0][410/6000]	Time 1.041 (1.060)	Loss 2.7421 (2.5530)
